VIDEO_ID,VIDEO_LENGTH_MINUTES,MODULE_INSTANCE_ID
V000006980,61,I2301156
V000012382,33,I2302483
V000005220,1,I2301639
V000015533,15,I2301236
V000014986,2,I2301639
V000022817,72,I2302153
V000020677,65,I2302153
V000015076,67,I2302153
V000016886,168,I2302153
V000005648,108,I2300038
V000012486,86,I2302153
V000012189,78,I2302153
V000003918,60,I2301548
V000028200,63,I2301548
V000008849,60,I2301548
V000005464,56,I2301548
V000011842,56,I2301548
V000017261,57,I2301548
V000012236,89,I2300038
V000025042,62,I2302153
V000008915,32,I2302153
V000012252,68,I2302153
V000009905,48,I2302153
V00000133,82,I2300038
V000005793,73,I2302153
V000030365,91,I2302153
V000017218,70,I2302153
V000010240,67,I2302153
V000008856,26,I2300038
V000013497,87,I2302153
V000012682,78,I2302153
V000014044,72,I2302153
V000015110,94,I2302153
V000021229,75,I2302153
V000007273,84,I2302153
V000023554,79,I2302153
V000003556,88,I2302153
V000025742,76,I2302153
V000014400,81,I2302153
V000006259,72,I2302153
V000015885,70,I2302153
V000003407,87,I2302153
V000008004,145,I2302153
V00000794,100,I2302153
V000027275,93,I2302153
V00000433,61,I2302153
V000026204,63,I2302153
V000010749,67,I2302153
V000017041,61,I2302153
V000013008,62,I2300376
V000011125,34,I2300376
V000006964,65,I2300376
V000011922,119,I2302153
V000022977,15,I2302467
V000017531,208,I2300042
V000008912,274,I2300042
V000024477,281,I2300042
V000006090,250,I2300042
V000018560,239,I2300042
V000028860,61,I2300624
V000025947,35,I2300624
V000015116,52,I2300624
V000005919,57,I2300624
V000004975,47,I2300624
V000019346,38,I2300624
V000024460,39,I2300624
V000028987,105,I2300624
V000013047,37,I2300624
V000012321,8,I2301613
V000016560,89,I2302234
V000029653,65,I2302234
V000005930,66,I2302234
V000022150,1,I2302234
V000018583,52,I2302234
V000014489,99,I2301999
V000017408,32,I2301001
V000003035,55,I2301999
V000012784,60,I2301999
V000019633,66,I2302234
V000015864,65,I2302234
V000007725,72,I2302234
V000001836,106,I2300129
V000020981,88,I2300129
V000007719,36,I2302234
V000006939,133,I2300129
V000006150,56,I2300129
V000013380,1,I2302234
V000022787,63,I2302234
V000008650,125,I2300129
V000005336,107,I2300129
V000002933,37,I2302234
V000010973,67,I2302234
V000024816,120,I2300129
V000012963,42,I2302234
V000010305,85,I2302234
V000007091,82,I2300563
V000019375,87,I2300873
V000007541,81,I2300110
V000016274,127,I2302150
V000028315,96,I2300873
V000020291,87,I2300563
V000020243,80,I2300110
V000026292,85,I2300563
V000018252,83,I2300873
V000016071,81,I2300110
V000014033,132,I2302150
V000024600,85,I2300873
V000004363,78,I2300563
V000025453,78,I2300110
V000004612,83,I2300563
V000021838,84,I2300873
V000022996,80,I2300110
V000006897,131,I2302150
V000008996,86,I2300563
V000016347,225,I2300873
V000020494,77,I2300110
V000027382,97,I2300563
V000013969,87,I2300873
V000013417,94,I2300110
V000027703,143,I2302150
V000001774,78,I2300110
V000002369,93,I2300563
V000013182,73,I2302150
V000004532,76,I2300873
V000014012,85,I2300563
V000018354,97,I2300873
V000005566,95,I2300110
V000006161,129,I2302150
V000008255,84,I2300873
V000018427,183,I2301915
V000024250,184,I2302699
V000016212,33,I2300380
V000013779,99,I2300380
V000013225,1,I2301680
V000018020,82,I2300380
V000021816,13,I2301236
V00000754,73,I2300804
V000016854,109,I2300380
V000025035,62,I2300380
V000023067,5,I2302263
V000001241,86,I2300563
V000016487,101,I2300110
V000021198,97,I2300563
V000024703,92,I2300873
V000005389,44,I2302150
V000021732,118,I2300804
V000012751,121,I2300804
V000017122,107,I2300804
V000026586,97,I2300804
V000004538,107,I2300804
V000017002,108,I2300804
V000027843,122,I2300804
V000011369,112,I2300804
V000007283,106,I2300804
V000021383,114,I2300804
V000003669,100,I2300804
V000018843,107,I2300804
V000002535,106,I2300804
V000019717,108,I2300804
V000005823,106,I2300804
V000005418,127,I2300804
V000005913,7,I2300329
V00000861,7,I2300329
V000004494,7,I2300329
V000027661,109,I2300380
V000007436,112,I2300804
V000005761,109,I2300804
V000006904,105,I2300804
V000007628,110,I2300804
V000024890,112,I2300380
V000007028,58,I2300380
V000004837,175,I2301915
V000029227,179,I2301915
V000022674,173,I2301915
V000021271,81,I2300873
V000021552,77,I2300110
V000020916,83,I2300873
V000019447,117,I2302339
V000015902,88,I2300563
V000025064,79,I2300110
V000024991,85,I2300563
V000030024,86,I2300873
V000015653,100,I2300110
V000019480,154,I2302150
V000029917,80,I2300873
V000003382,83,I2300563
V000007598,86,I2300110
V000018987,99,I2300110
V000016245,133,I2302150
V000016793,103,I2300873
V000023419,101,I2300563
V000007418,86,I2300110
V000022896,99,I2300563
V000006387,89,I2300873
V000004581,87,I2300110
V000001947,135,I2302150
V000020586,83,I2300873
V000017571,63,I2300110
V000002703,80,I2300563
V000017674,94,I2300563
V000009018,159,I2300110
V000015083,3,I2301161
V000015082,3,I2301054
V000026164,8,I2301613
V000009904,2,I2301054
V000028916,74,I2301140
V000023196,107,I2301140
V000026992,103,I2301140
V000002924,106,I2301140
V00000255,91,I2300003
V000023487,102,I2300003
V000008488,112,I2300003
V000003193,111,I2300003
V000020300,111,I2300003
V00000609,101,I2300003
V000008215,45,I2302542
V000008078,112,I2300003
V000009954,108,I2300003
V000030275,82,I2300003
V000021840,199,I2300666
V000023960,119,I2300760
V000001742,111,I2300760
V000016087,119,I2300760
V000017082,115,I2300760
V000007095,121,I2300760
V000011388,123,I2300760
V000013666,119,I2300760
V000029590,119,I2300760
V000023921,92,I2300760
V000008892,112,I2300760
V000007029,87,I2300760
V00000272,119,I2300760
V000006002,99,I2300760
V000021587,110,I2300760
V000001330,102,I2300760
V000007716,105,I2300760
V000008636,101,I2300760
V000024967,76,I2300760
V000024660,75,I2300760
V000001748,21,I2301236
V000021207,127,I2301140
V000012632,114,I2301140
V000013673,112,I2301140
V000028527,107,I2301140
V000019268,71,I2301140
V000006511,155,I2302380
V000029922,145,I2302380
V000024266,143,I2302380
V000001727,147,I2302380
V000014872,177,I2302380
V000009498,147,I2302380
V000013313,4,I2301161
V000014187,6,I2301472
V000016663,6,I2301472
V000019784,6,I2301472
V000026733,6,I2302674
V000019044,16,I2301236
V000002408,8,I2301759
V000001650,24,I2300677
V000009229,5,I2301535
V000017203,1,I2301639
V000024377,15,I2301280
V000013895,6,I2301472
V000005904,6,I2302674
V000017493,8,I2301300
V000019820,10,I2301300
V000003398,17,I2301300
V000014693,12,I2301236
V000002844,46,I2301280
V000002226,31,I2301922
V000018093,42,I2301922
V000012325,30,I2300971
V000006914,27,I2300971
V000010693,6,I2301472
