P_ID,module_instance_id,lms_item_id,rate_count_diff,rate_count_clarity,rate_count_usefulness,interaction_count
1,1,1,4,3,1,16
1,1,2,2,3,1,41
1,1,3,1,1,3,6
1,2,1,4,5,1,5
1,2,2,3,2,5,48
1,2,3,2,4,3,21
1,3,1,4,2,3,20
1,3,2,1,1,4,10
1,3,3,5,3,4,40
1,3,4,3,2,3,23
1,3,5,4,4,1,37
1,3,6,2,1,3,32
1,4,1,1,2,2,39
1,4,2,4,2,1,6
2,1,1,5,5,3,13
2,1,2,1,3,3,20
2,1,3,3,4,1,28
2,1,4,4,3,1,12
2,1,5,4,4,3,29
2,2,1,1,5,2,22
2,2,2,2,3,5,45
2,2,3,4,1,4,37
2,2,4,5,4,3,21
3,1,1,3,3,5,12
3,1,2,3,3,2,25
3,1,3,1,4,1,9
3,1,4,4,5,3,8
3,1,5,3,1,1,48
3,2,1,5,5,3,45
3,2,2,5,5,1,35
3,2,3,3,4,1,25
3,2,4,1,3,2,29
3,2,5,2,2,3,44
4,1,1,2,3,2,6
4,1,2,2,1,1,13
4,1,3,3,5,2,30
4,2,1,2,1,5,11
4,2,2,1,4,5,24
4,2,3,1,4,3,27
4,2,4,4,2,2,36
4,3,1,1,2,5,26
4,3,2,2,2,1,46
4,3,3,3,4,5,37
4,3,4,5,4,4,48
5,1,1,5,4,3,44
5,1,2,4,5,2,46
5,1,3,3,1,3,32
5,1,4,2,2,5,30
5,1,5,5,1,4,5
5,2,1,2,1,2,36
5,2,2,1,5,5,5
5,2,3,5,5,5,7
6,1,1,5,1,5,18
6,1,2,4,5,1,34
6,1,3,4,5,4,20
6,1,4,2,2,5,43
6,2,1,1,5,2,14
6,2,2,5,4,2,35
6,2,3,2,2,3,36
6,2,4,1,5,5,8
6,2,5,2,1,4,36
6,3,1,4,4,2,39
6,3,2,4,1,1,47
6,3,3,5,4,3,5
6,3,4,1,2,3,48
7,1,1,4,2,5,39
7,1,2,1,2,5,30
7,1,3,2,2,2,45
7,1,4,4,2,5,49
7,1,5,3,5,4,29
7,1,6,5,5,1,40
7,2,1,5,1,3,39
7,2,2,4,2,1,43
7,2,3,5,4,1,17
8,1,1,3,1,1,24
8,1,2,1,5,3,23
8,2,1,4,4,5,45
8,2,2,3,4,1,11
8,3,1,4,3,2,20
8,3,2,5,5,3,16
8,3,3,1,4,3,25
8,3,4,4,5,1,43
8,3,5,5,5,2,43
8,4,1,5,3,5,47
8,4,2,3,2,4,13
8,4,3,2,2,4,21
9,1,1,2,1,2,31
9,1,2,2,2,5,33
9,1,3,5,3,5,5
9,1,4,4,1,1,49
9,1,5,4,4,4,35
9,1,6,3,5,4,43
9,2,1,2,2,3,43
9,2,2,3,5,5,32
9,2,3,2,4,4,12
9,2,4,5,1,1,7
10,1,1,1,4,1,29
10,1,2,1,5,2,48
10,1,3,5,5,5,25
10,1,4,5,3,4,41
10,1,5,4,3,3,24
10,2,1,2,1,1,18
10,2,2,1,5,3,20
11,1,1,3,4,2,36
11,1,2,4,4,5,12
11,2,1,4,4,2,12
